censo,iso_3166-2_AR,provincia,sexo,rango_etario,nativo_extranjero,poblacion,
1869,AR,ARGENTINA,M,05-09,N,124003,
1869,AR,ARGENTINA,M,10-14,N,99081,
1869,AR,ARGENTINA,M,00-04,N,129782,
1869,AR,ARGENTINA,M,15-19,N,87430,
1869,AR,ARGENTINA,M,20-24,N,69111,
1869,AR,ARGENTINA,M,25-29,N,64407,
1869,AR,ARGENTINA,M,30-34,N,50374,
1869,AR,ARGENTINA,M,35-39,N,37785,
1869,AR,ARGENTINA,M,40-44,N,35806,
1869,AR,ARGENTINA,M,45-49,N,23669,
1869,AR,ARGENTINA,M,50-54,N,23117,
1869,AR,ARGENTINA,M,55-59,N,10753,
1869,AR,ARGENTINA,M,60-64,N,12879,
1869,AR,ARGENTINA,M,65-69,N,4468,
1869,AR,ARGENTINA,M,70-74,N,6238,
1869,AR,ARGENTINA,M,75-79,N,1603,
1869,AR,ARGENTINA,M,80-84,N,2861,
1869,AR,ARGENTINA,M,85+,N,2013,
1869,AR,ARGENTINA,V,05-09,N,128627,
1869,AR,ARGENTINA,V,10-14,N,111604,
1869,AR,ARGENTINA,V,00-04,N,128759,
1869,AR,ARGENTINA,V,15-19,N,70654,
1869,AR,ARGENTINA,V,20-24,N,55429,
1869,AR,ARGENTINA,V,25-29,N,56539,
1869,AR,ARGENTINA,V,30-34,N,42799,
1869,AR,ARGENTINA,V,35-39,N,34691,
1869,AR,ARGENTINA,V,40-44,N,29724,
1869,AR,ARGENTINA,V,45-49,N,24195,
1869,AR,ARGENTINA,V,50-54,N,20438,
1869,AR,ARGENTINA,V,55-59,N,10662,
1869,AR,ARGENTINA,V,60-64,N,12621,
1869,AR,ARGENTINA,V,65-69,N,4435,
1869,AR,ARGENTINA,V,70-74,N,5058,
1869,AR,ARGENTINA,V,75-79,N,1263,
1869,AR,ARGENTINA,V,80-84,N,2215,
1869,AR,ARGENTINA,V,85+,N,1641,
1895,AR,ARGENTINA,M,05-09,N,250107,
1895,AR,ARGENTINA,M,10-14,N,181555,
1895,AR,ARGENTINA,M,00-04,N,285444,
1895,AR,ARGENTINA,M,15-19,N,168040,
1895,AR,ARGENTINA,M,20-24,N,135964,
1895,AR,ARGENTINA,M,25-29,N,114231,
1895,AR,ARGENTINA,M,30-34,N,85194,
1895,AR,ARGENTINA,M,35-39,N,75642,
1895,AR,ARGENTINA,M,40-44,N,56415,
1895,AR,ARGENTINA,M,45-49,N,39495,
1895,AR,ARGENTINA,M,50-54,N,33839,
1895,AR,ARGENTINA,M,55-59,N,19319,
1895,AR,ARGENTINA,M,60-64,N,21483,
1895,AR,ARGENTINA,M,65-69,N,9299,
1895,AR,ARGENTINA,M,70-74,N,9724,
1895,AR,ARGENTINA,M,75-79,N,3816,
1895,AR,ARGENTINA,M,80-84,N,4436,
1895,AR,ARGENTINA,M,85+,N,3430,
1895,AR,ARGENTINA,V,05-09,N,260340,
1895,AR,ARGENTINA,V,10-14,N,199126,
1895,AR,ARGENTINA,V,00-04,N,293197,
1895,AR,ARGENTINA,V,15-19,N,145155,
1895,AR,ARGENTINA,V,20-24,N,118924,
1895,AR,ARGENTINA,V,25-29,N,102722,
1895,AR,ARGENTINA,V,30-34,N,76716,
1895,AR,ARGENTINA,V,35-39,N,75095,
1895,AR,ARGENTINA,V,40-44,N,48216,
1895,AR,ARGENTINA,V,45-49,N,44253,
1895,AR,ARGENTINA,V,50-54,N,29154,
1895,AR,ARGENTINA,V,55-59,N,20504,
1895,AR,ARGENTINA,V,60-64,N,17131,
1895,AR,ARGENTINA,V,65-69,N,7997,
